Rotation,Pitch,Elbow,Wrist_Pitch,Wrist_Roll,Jaw
-0.042000,-0.141000,0.440000,0.039000,0.138000,0.563000
-0.045000,-0.144000,0.443000,0.042000,0.141000,0.560000
-0.048000,-0.147000,0.446000,0.045000,0.144000,0.557000
-0.051000,-0.150000,0.449000,0.048000,0.147000,0.554000
-0.054000,-0.147000,0.452000,0.051000,0.150000,0.551000
-0.057000,-0.144000,0.455000,0.054000,0.147000,0.548000
-0.060000,-0.141000,0.458000,0.057000,0.144000,0.545000
-0.063000,-0.138000,0.461000,0.060000,0.141000,0.542000
-0.066000,-0.135000,0.464000,0.063000,0.138000,0.539000
-0.069000,-0.132000,0.467000,0.066000,0.135000,0.536000
-0.072000,-0.129000,0.470000,0.069000,0.132000,0.533000
-0.075000,-0.126000,0.473000,0.072000,0.129000,0.530000
-0.078000,-0.123000,0.476000,0.075000,0.126000,0.527000
-0.081000,-0.120000,0.479000,0.078000,0.123000,0.524000
-0.084000,-0.117000,0.482000,0.081000,0.120000,0.521000
-0.087000,-0.114000,0.485000,0.084000,0.117000,0.518000
-0.090000,-0.111000,0.488000,0.087000,0.114000,0.515000
-0.093000,-0.108000,0.491000,0.090000,0.111000,0.512000
-0.096000,-0.105000,0.494000,0.093000,0.108000,0.509000
-0.099000,-0.102000,0.497000,0.096000,0.105000,0.506000
-0.102000,-0.099000,0.500000,0.099000,0.102000,0.503000
-0.105000,-0.096000,0.503000,0.102000,0.099000,0.500000
-0.108000,-0.093000,0.506000,0.105000,0.096000,0.497000
-0.111000,-0.090000,0.509000,0.108000,0.093000,0.494000
-0.114000,-0.087000,0.512000,0.111000,0.090000,0.491000
-0.117000,-0.084000,0.515000,0.114000,0.087000,0.488000
-0.120000,-0.081000,0.518000,0.117000,0.084000,0.485000
-0.123000,-0.078000,0.521000,0.120000,0.081000,0.482000
-0.126000,-0.075000,0.524000,0.123000,0.078000,0.479000
-0.129000,-0.072000,0.527000,0.126000,0.075000,0.476000
-0.132000,-0.069000,0.530000,0.129000,0.072000,0.473000
-0.135000,-0.066000,0.533000,0.132000,0.069000,0.470000
-0.138000,-0.063000,0.536000,0.135000,0.066000,0.467000
-0.141000,-0.060000,0.539000,0.138000,0.063000,0.464000
-0.144000,-0.057000,0.542000,0.141000,0.060000,0.461000
-0.147000,-0.054000,0.545000,0.144000,0.057000,0.458000
-0.150000,-0.051000,0.548000,0.147000,0.054000,0.455000
-0.147000,-0.048000,0.551000,0.150000,0.051000,0.452000
-0.144000,-0.045000,0.554000,0.147000,0.048000,0.449000
-0.141000,-0.042000,0.557000,0.144000,0.045000,0.446000
-0.138000,-0.039000,0.560000,0.141000,0.042000,0.443000
-0.135000,-0.036000,0.563000,0.138000,0.039000,0.440000
-0.132000,-0.033000,0.566000,0.135000,0.036000,0.437000
-0.129000,-0.030000,0.569000,0.132000,0.033000,0.434000
-0.126000,-0.027000,0.572000,0.129000,0.030000,0.431000
-0.123000,-0.024000,0.575000,0.126000,0.027000,0.428000
-0.120000,-0.021000,0.578000,0.123000,0.024000,0.425000
-0.117000,-0.018000,0.581000,0.120000,0.021000,0.422000
-0.114000,-0.015000,0.584000,0.117000,0.018000,0.419000
-0.111000,-0.012000,0.587000,0.114000,0.015000,0.416000
-0.108000,-0.009000,0.590000,0.111000,0.012000,0.413000
-0.105000,-0.006000,0.593000,0.108000,0.009000,0.410000
-0.102000,-0.003000,0.596000,0.105000,0.006000,0.407000
-0.099000,0.000000,0.599000,0.102000,0.003000,0.404000
-0.096000,0.003000,0.602000,0.099000,0.000000,0.401000
-0.093000,0.006000,0.605000,0.096000,-0.003000,0.398000
-0.090000,0.009000,0.608000,0.093000,-0.006000,0.395000
-0.087000,0.012000,0.611000,0.090000,-0.009000,0.392000
-0.084000,0.015000,0.614000,0.087000,-0.012000,0.389000
-0.081000,0.018000,0.617000,0.084000,-0.015000,0.386000
-0.078000,0.021000,0.620000,0.081000,-0.018000,0.383000
-0.075000,0.024000,0.623000,0.078000,-0.021000,0.380000
-0.072000,0.027000,0.626000,0.075000,-0.024000,0.377000
-0.069000,0.030000,0.629000,0.072000,-0.027000,0.374000
-0.066000,0.033000,0.632000,0.069000,-0.030000,0.371000
-0.063000,0.036000,0.635000,0.066000,-0.033000,0.368000
-0.060000,0.039000,0.638000,0.063000,-0.036000,0.365000
-0.057000,0.042000,0.641000,0.060000,-0.039000,0.362000
-0.054000,0.045000,0.644000,0.057000,-0.042000,0.359000
-0.051000,0.048000,0.647000,0.054000,-0.045000,0.356000
-0.048000,0.051000,0.650000,0.051000,-0.048000,0.353000
-0.045000,0.054000,0.647000,0.048000,-0.051000,0.350000
-0.042000,0.057000,0.644000,0.045000,-0.054000,0.353000
-0.039000,0.060000,0.641000,0.042000,-0.057000,0.356000
-0.036000,0.063000,0.638000,0.039000,-0.060000,0.359000
-0.033000,0.066000,0.635000,0.036000,-0.063000,0.362000
-0.030000,0.069000,0.632000,0.033000,-0.066000,0.365000
-0.027000,0.072000,0.629000,0.030000,-0.069000,0.368000
-0.024000,0.075000,0.626000,0.027000,-0.072000,0.371000
-0.021000,0.078000,0.623000,0.024000,-0.075000,0.374000
-0.018000,0.081000,0.620000,0.021000,-0.078000,0.377000
-0.015000,0.084000,0.617000,0.018000,-0.081000,0.380000
-0.012000,0.087000,0.614000,0.015000,-0.084000,0.383000
-0.009000,0.090000,0.611000,0.012000,-0.087000,0.386000
-0.006000,0.093000,0.608000,0.009000,-0.090000,0.389000
-0.003000,0.096000,0.605000,0.006000,-0.093000,0.392000
0.000000,0.099000,0.602000,0.003000,-0.096000,0.395000
0.003000,0.102000,0.599000,0.000000,-0.099000,0.398000
0.006000,0.105000,0.596000,-0.003000,-0.102000,0.401000
0.009000,0.108000,0.593000,-0.006000,-0.105000,0.404000
0.012000,0.111000,0.590000,-0.009000,-0.108000,0.407000
0.015000,0.114000,0.587000,-0.012000,-0.111000,0.410000
0.018000,0.117000,0.584000,-0.015000,-0.114000,0.413000
0.021000,0.120000,0.581000,-0.018000,-0.117000,0.416000
0.024000,0.123000,0.578000,-0.021000,-0.120000,0.419000
0.027000,0.126000,0.575000,-0.024000,-0.123000,0.422000
0.030000,0.129000,0.572000,-0.027000,-0.126000,0.425000
0.033000,0.132000,0.569000,-0.030000,-0.129000,0.428000
0.036000,0.135000,0.566000,-0.033000,-0.132000,0.431000
0.039000,0.138000,0.563000,-0.036000,-0.135000,0.434000
0.042000,0.141000,0.560000,-0.039000,-0.138000,0.437000
0.045000,0.144000,0.557000,-0.042000,-0.141000,0.440000
0.048000,0.147000,0.554000,-0.045000,-0.144000,0.443000
0.051000,0.150000,0.551000,-0.048000,-0.147000,0.446000
0.054000,0.147000,0.548000,-0.051000,-0.150000,0.449000
0.057000,0.144000,0.545000,-0.054000,-0.147000,0.452000
0.060000,0.141000,0.542000,-0.057000,-0.144000,0.455000
0.063000,0.138000,0.539000,-0.060000,-0.141000,0.458000
0.066000,0.135000,0.536000,-0.063000,-0.138000,0.461000
0.069000,0.132000,0.533000,-0.066000,-0.135000,0.464000
0.072000,0.129000,0.530000,-0.069000,-0.132000,0.467000
0.075000,0.126000,0.527000,-0.072000,-0.129000,0.470000
0.078000,0.123000,0.524000,-0.075000,-0.126000,0.473000
0.081000,0.120000,0.521000,-0.078000,-0.123000,0.476000
0.084000,0.117000,0.518000,-0.081000,-0.120000,0.479000
0.087000,0.114000,0.515000,-0.084000,-0.117000,0.482000
0.090000,0.111000,0.512000,-0.087000,-0.114000,0.485000
0.093000,0.108000,0.509000,-0.090000,-0.111000,0.488000
0.096000,0.105000,0.506000,-0.093000,-0.108000,0.491000
0.099000,0.102000,0.503000,-0.096000,-0.105000,0.494000
0.102000,0.099000,0.500000,-0.099000,-0.102000,0.497000
0.105000,0.096000,0.497000,-0.102000,-0.099000,0.500000
0.108000,0.093000,0.494000,-0.105000,-0.096000,0.503000
0.111000,0.090000,0.491000,-0.108000,-0.093000,0.506000
0.114000,0.087000,0.488000,-0.111000,-0.090000,0.509000
0.117000,0.084000,0.485000,-0.114000,-0.087000,0.512000
0.120000,0.081000,0.482000,-0.117000,-0.084000,0.515000
0.123000,0.078000,0.479000,-0.120000,-0.081000,0.518000
0.126000,0.075000,0.476000,-0.123000,-0.078000,0.521000
0.129000,0.072000,0.473000,-0.126000,-0.075000,0.524000
0.132000,0.069000,0.470000,-0.129000,-0.072000,0.527000
0.135000,0.066000,0.467000,-0.132000,-0.069000,0.530000
0.138000,0.063000,0.464000,-0.135000,-0.066000,0.533000
0.141000,0.060000,0.461000,-0.138000,-0.063000,0.536000
0.144000,0.057000,0.458000,-0.141000,-0.060000,0.539000
0.147000,0.054000,0.455000,-0.144000,-0.057000,0.542000
0.150000,0.051000,0.452000,-0.147000,-0.054000,0.545000
0.147000,0.048000,0.449000,-0.150000,-0.051000,0.548000
0.144000,0.045000,0.446000,-0.147000,-0.048000,0.551000
0.141000,0.042000,0.443000,-0.144000,-0.045000,0.554000
0.138000,0.039000,0.440000,-0.141000,-0.042000,0.557000
0.135000,0.036000,0.437000,-0.138000,-0.039000,0.560000
0.132000,0.033000,0.434000,-0.135000,-0.036000,0.563000
0.129000,0.030000,0.431000,-0.132000,-0.033000,0.566000
0.126000,0.027000,0.428000,-0.129000,-0.030000,0.569000
0.123000,0.024000,0.425000,-0.126000,-0.027000,0.572000
0.120000,0.021000,0.422000,-0.123000,-0.024000,0.575000
0.117000,0.018000,0.419000,-0.120000,-0.021000,0.578000
0.114000,0.015000,0.416000,-0.117000,-0.018000,0.581000
0.111000,0.012000,0.413000,-0.114000,-0.015000,0.584000
0.108000,0.009000,0.410000,-0.111000,-0.012000,0.587000
0.105000,0.006000,0.407000,-0.108000,-0.009000,0.590000
0.102000,0.003000,0.404000,-0.105000,-0.006000,0.593000
0.099000,0.000000,0.401000,-0.102000,-0.003000,0.596000
0.096000,-0.003000,0.398000,-0.099000,0.000000,0.599000
0.093000,-0.006000,0.395000,-0.096000,0.003000,0.602000
0.090000,-0.009000,0.392000,-0.093000,0.006000,0.605000
0.087000,-0.012000,0.389000,-0.090000,0.009000,0.608000
0.084000,-0.015000,0.386000,-0.087000,0.012000,0.611000
0.081000,-0.018000,0.383000,-0.084000,0.015000,0.614000
0.078000,-0.021000,0.380000,-0.081000,0.018000,0.617000
0.075000,-0.024000,0.377000,-0.078000,0.021000,0.620000
0.072000,-0.027000,0.374000,-0.075000,0.024000,0.623000
0.069000,-0.030000,0.371000,-0.072000,0.027000,0.626000
0.066000,-0.033000,0.368000,-0.069000,0.030000,0.629000
0.063000,-0.036000,0.365000,-0.066000,0.033000,0.632000
0.060000,-0.039000,0.362000,-0.063000,0.036000,0.635000
0.057000,-0.042000,0.359000,-0.060000,0.039000,0.638000
0.054000,-0.045000,0.356000,-0.057000,0.042000,0.641000
0.051000,-0.048000,0.353000,-0.054000,0.045000,0.644000
0.048000,-0.051000,0.350000,-0.051000,0.048000,0.647000
0.045000,-0.054000,0.353000,-0.048000,0.051000,0.650000
0.042000,-0.057000,0.356000,-0.045000,0.054000,0.647000
0.039000,-0.060000,0.359000,-0.042000,0.057000,0.644000
0.036000,-0.063000,0.362000,-0.039000,0.060000,0.641000
0.033000,-0.066000,0.365000,-0.036000,0.063000,0.638000
0.030000,-0.069000,0.368000,-0.033000,0.066000,0.635000
0.027000,-0.072000,0.371000,-0.030000,0.069000,0.632000
0.024000,-0.075000,0.374000,-0.027000,0.072000,0.629000
0.021000,-0.078000,0.377000,-0.024000,0.075000,0.626000
0.018000,-0.081000,0.380000,-0.021000,0.078000,0.623000
0.015000,-0.084000,0.383000,-0.018000,0.081000,0.620000
0.012000,-0.087000,0.386000,-0.015000,0.084000,0.617000
0.009000,-0.090000,0.389000,-0.012000,0.087000,0.614000
0.006000,-0.093000,0.392000,-0.009000,0.090000,0.611000
0.003000,-0.096000,0.395000,-0.006000,0.093000,0.608000
0.000000,-0.099000,0.398000,-0.003000,0.096000,0.605000
-0.003000,-0.102000,0.401000,0.000000,0.099000,0.602000
-0.006000,-0.105000,0.404000,0.003000,0.102000,0.599000
-0.009000,-0.108000,0.407000,0.006000,0.105000,0.596000
-0.012000,-0.111000,0.410000,0.009000,0.108000,0.593000
-0.015000,-0.114000,0.413000,0.012000,0.111000,0.590000
-0.018000,-0.117000,0.416000,0.015000,0.114000,0.587000
-0.021000,-0.120000,0.419000,0.018000,0.117000,0.584000
-0.024000,-0.123000,0.422000,0.021000,0.120000,0.581000
-0.027000,-0.126000,0.425000,0.024000,0.123000,0.578000
-0.030000,-0.129000,0.428000,0.027000,0.126000,0.575000
-0.033000,-0.132000,0.431000,0.030000,0.129000,0.572000
-0.036000,-0.135000,0.434000,0.033000,0.132000,0.569000
-0.039000,-0.138000,0.437000,0.036000,0.135000,0.566000
-0.042000,-0.141000,0.440000,0.039000,0.138000,0.563000
-0.045000,-0.144000,0.443000,0.042000,0.141000,0.560000
-0.048000,-0.147000,0.446000,0.045000,0.144000,0.557000
-0.051000,-0.150000,0.449000,0.048000,0.147000,0.554000
-0.054000,-0.147000,0.452000,0.051000,0.150000,0.551000
-0.057000,-0.144000,0.455000,0.054000,0.147000,0.548000
-0.060000,-0.141000,0.458000,0.057000,0.144000,0.545000
-0.063000,-0.138000,0.461000,0.060000,0.141000,0.542000
-0.066000,-0.135000,0.464000,0.063000,0.138000,0.539000
-0.069000,-0.132000,0.467000,0.066000,0.135000,0.536000
-0.072000,-0.129000,0.470000,0.069000,0.132000,0.533000
-0.075000,-0.126000,0.473000,0.072000,0.129000,0.530000
-0.078000,-0.123000,0.476000,0.075000,0.126000,0.527000
-0.081000,-0.120000,0.479000,0.078000,0.123000,0.524000
-0.084000,-0.117000,0.482000,0.081000,0.120000,0.521000
-0.087000,-0.114000,0.485000,0.084000,0.117000,0.518000
-0.090000,-0.111000,0.488000,0.087000,0.114000,0.515000
-0.093000,-0.108000,0.491000,0.090000,0.111000,0.512000
-0.096000,-0.105000,0.494000,0.093000,0.108000,0.509000
-0.099000,-0.102000,0.497000,0.096000,0.105000,0.506000
-0.102000,-0.099000,0.500000,0.099000,0.102000,0.503000
-0.105000,-0.096000,0.503000,0.102000,0.099000,0.500000
-0.108000,-0.093000,0.506000,0.105000,0.096000,0.497000
-0.111000,-0.090000,0.509000,0.108000,0.093000,0.494000
-0.114000,-0.087000,0.512000,0.111000,0.090000,0.491000
-0.117000,-0.084000,0.515000,0.114000,0.087000,0.488000
-0.120000,-0.081000,0.518000,0.117000,0.084000,0.485000
-0.123000,-0.078000,0.521000,0.120000,0.081000,0.482000
-0.126000,-0.075000,0.524000,0.123000,0.078000,0.479000
-0.129000,-0.072000,0.527000,0.126000,0.075000,0.476000
-0.132000,-0.069000,0.530000,0.129000,0.072000,0.473000
-0.135000,-0.066000,0.533000,0.132000,0.069000,0.470000
-0.138000,-0.063000,0.536000,0.135000,0.066000,0.467000
-0.141000,-0.060000,0.539000,0.138000,0.063000,0.464000
-0.144000,-0.057000,0.542000,0.141000,0.060000,0.461000
-0.147000,-0.054000,0.545000,0.144000,0.057000,0.458000
-0.150000,-0.051000,0.548000,0.147000,0.054000,0.455000
-0.147000,-0.048000,0.551000,0.150000,0.051000,0.452000
-0.144000,-0.045000,0.554000,0.147000,0.048000,0.449000
-0.141000,-0.042000,0.557000,0.144000,0.045000,0.446000
-0.138000,-0.039000,0.560000,0.141000,0.042000,0.443000
-0.135000,-0.036000,0.563000,0.138000,0.039000,0.440000
-0.132000,-0.033000,0.566000,0.135000,0.036000,0.437000
-0.129000,-0.030000,0.569000,0.132000,0.033000,0.434000
-0.126000,-0.027000,0.572000,0.129000,0.030000,0.431000
-0.123000,-0.024000,0.575000,0.126000,0.027000,0.428000
-0.120000,-0.021000,0.578000,0.123000,0.024000,0.425000
-0.117000,-0.018000,0.581000,0.120000,0.021000,0.422000
-0.114000,-0.015000,0.584000,0.117000,0.018000,0.419000
-0.111000,-0.012000,0.587000,0.114000,0.015000,0.416000
-0.108000,-0.009000,0.590000,0.111000,0.012000,0.413000
-0.105000,-0.006000,0.593000,0.108000,0.009000,0.410000
-0.102000,-0.003000,0.596000,0.105000,0.006000,0.407000
-0.099000,0.000000,0.599000,0.102000,0.003000,0.404000
-0.096000,0.003000,0.602000,0.099000,0.000000,0.401000
-0.093000,0.006000,0.605000,0.096000,-0.003000,0.398000
-0.090000,0.009000,0.608000,0.093000,-0.006000,0.395000
-0.087000,0.012000,0.611000,0.090000,-0.009000,0.392000
-0.084000,0.015000,0.614000,0.087000,-0.012000,0.389000
-0.081000,0.018000,0.617000,0.084000,-0.015000,0.386000
-0.078000,0.021000,0.620000,0.081000,-0.018000,0.383000
-0.075000,0.024000,0.623000,0.078000,-0.021000,0.380000
-0.072000,0.027000,0.626000,0.075000,-0.024000,0.377000
-0.069000,0.030000,0.629000,0.072000,-0.027000,0.374000
-0.066000,0.033000,0.632000,0.069000,-0.030000,0.371000
-0.063000,0.036000,0.635000,0.066000,-0.033000,0.368000
-0.060000,0.039000,0.638000,0.063000,-0.036000,0.365000
-0.057000,0.042000,0.641000,0.060000,-0.039000,0.362000
-0.054000,0.045000,0.644000,0.057000,-0.042000,0.359000
-0.051000,0.048000,0.647000,0.054000,-0.045000,0.356000
-0.048000,0.051000,0.650000,0.051000,-0.048000,0.353000
