type,timestamp,positions
CONTROL,1183525.5150217563,"[0.12968, 0.129458, 0.601373, 0.050399, -0.013056, 0.424482]"
CONTROL,1203581.6240822896,"[0.126311, 0.117702, 0.582532, 0.027354, -0.0364, 0.404972]"
CONTROL,1223639.2340855673,"[0.119706, 0.103408, 0.56233, 0.004445, -0.058025, 0.388582]"
CONTROL,1243699.5090683922,"[0.110433, 0.08732, 0.541614, -0.017477, -0.077182, 0.375857]"
CONTROL,1263757.4500404298,"[0.099153, 0.070222, 0.521209, -0.037641, -0.093259, 0.367168]"
CONTROL,1283815.5810022727,"[0.086575, 0.052891, 0.501874, -0.055402, -0.105811, 0.362688]"
CONTROL,1303872.9410618544,"[0.073411, 0.036053, 0.484265, -0.070261, -0.114577, 0.362393]"
CONTROL,1323930.7020558044,"[0.060334, 0.020342, 0.4689, -0.081896, -0.119487, 0.366065]"
CONTROL,1343991.0360611975,"[0.047937, 0.006267, 0.456134, -0.090169, -0.120664, 0.373312]"
CONTROL,1364058.051025495,"[0.036701, -0.005808, 0.44615, -0.095121, -0.118403, 0.383591]"
CONTROL,1384117.5939887762,"[0.026966, -0.015688, 0.438957, -0.096969, -0.113151, 0.396249]"
CONTROL,1404174.393042922,"[0.01892, -0.02334, 0.434395, -0.096079, -0.105473, 0.410561]"
CONTROL,1424232.5240047649,"[0.012589, -0.028893, 0.432161, -0.092934, -0.096011, 0.425772]"
CONTROL,1444293.2690726593,"[0.007848, -0.032618, 0.431833, -0.0881, -0.085445, 0.441149]"
CONTROL,1464349.8080549762,"[0.004434, -0.0349, 0.432904, -0.082186, -0.074445, 0.456016]"
CONTROL,1484409.6020096913,"[0.001969, -0.036204, 0.434827, -0.075794, -0.063631, 0.469798]"
CONTROL,1504466.6019966826,"[0.0, -0.037041, 0.437054, -0.069487, -0.053534, 0.482048]"
CONTROL,1524522.219086066,"[-0.001969, -0.03792, 0.439079, -0.063743, -0.044568, 0.492468]"
CONTROL,1544579.8099972308,"[-0.004434, -0.03931, 0.440471, -0.058928, -0.037001, 0.500923]"
CONTROL,1564635.4870405048,"[-0.007848, -0.041603, 0.440912, -0.055272, -0.03095, 0.50744]"
CONTROL,1584694.1489726305,"[-0.012589, -0.045081, 0.440217, -0.052854, -0.026375, 0.512198]"
CONTROL,1604752.5310423225,"[-0.01892, -0.049892, 0.438348, -0.051604, -0.02309, 0.515505]"
CONTROL,1624808.278051205,"[-0.026966, -0.056034, 0.435419, -0.051304, -0.02078, 0.517771]"
CONTROL,1644871.126045473,"[-0.036701, -0.063351, 0.431689, -0.051613, -0.019033, 0.519476]"
CONTROL,1664929.1680660099,"[-0.047937, -0.071538, 0.427544, -0.05209, -0.017369, 0.521122]"
CONTROL,1684989.9530643597,"[-0.060334, -0.080162, 0.423469, -0.052231, -0.015286, 0.523199]"
CONTROL,1705049.0149995312,"[-0.073411, -0.088682, 0.420016, -0.051505, -0.012294, 0.526141]"
CONTROL,1725105.0940249115,"[-0.086575, -0.096486, 0.417765, -0.049399, -0.007963, 0.530292]"
CONTROL,1745163.0040304735,"[-0.099153, -0.102931, 0.417279, -0.045455, -0.001953, 0.535874]"
CONTROL,1765221.4660774916,"[-0.110433, -0.107385, 0.419065, -0.039314, 0.005949, 0.542968]"
CONTROL,1785280.2890120074,"[-0.119706, -0.109272, 0.423532, -0.030742, 0.015813, 0.551498]"
CONTROL,1805338.3689839393,"[-0.126311, -0.108108, 0.430961, -0.019658, 0.027545, 0.561236]"
CONTROL,1825395.3190287575,"[-0.12968, -0.103544, 0.441474, -0.006148, 0.04089, 0.571805]"
CONTROL,1845452.7789726853,"[-0.129372, -0.095389, 0.455019, 0.009531, 0.05544, 0.582704]"
CONTROL,1865512.0320618153,"[-0.125107, -0.083633, 0.471363, 0.026957, 0.07065, 0.593333]"
CONTROL,1885570.2430009842,"[-0.116789, -0.068453, 0.490101, 0.045562, 0.08587, 0.603034]"
CONTROL,1905628.3850222826,"[-0.104515, -0.050213, 0.510664, 0.064658, 0.100378, 0.611126]"
CONTROL,1925686.5360075608,"[-0.088579, -0.029451, 0.532351, 0.083473, 0.113423, 0.616956]"
CONTROL,1945747.2109934315,"[-0.069458, -0.006851, 0.554364, 0.101195, 0.124269, 0.619936]"
CONTROL,1965807.2750316933,"[-0.047791, 0.016785, 0.575844, 0.117013, 0.132242, 0.619587]"
CONTROL,1985873.3180444688,"[-0.024351, 0.040583, 0.595922, 0.130166, 0.136769, 0.615573]"
CONTROL,2005932.240979746,"[-0.0, 0.063638, 0.613763, 0.139987, 0.137418, 0.607727]"
CONTROL,2026014.797971584,"[0.024351, 0.085064, 0.628615, 0.145941, 0.133926, 0.59607]"
CONTROL,2046075.49298089,"[0.047791, 0.104038, 0.639846, 0.147659, 0.126219, 0.580814]"
CONTROL,2066132.0820217952,"[0.069458, 0.119849, 0.646981, 0.144961, 0.114423, 0.562361]"
CONTROL,2086191.505077295,"[0.088579, 0.131928, 0.64973, 0.137866, 0.098857, 0.541281]"
CONTROL,2106249.1660704836,"[0.104515, 0.139883, 0.648, 0.126596, 0.080027, 0.518292]"
CONTROL,2126305.074081756,"[0.116789, 0.143515, 0.641905, 0.111565, 0.058595, 0.494219]"
CONTROL,2146373.6810255796,"[0.125107, 0.142824, 0.631753, 0.093357, 0.035349, 0.469956]"
CONTROL,2166433.444013819,"[0.129372, 0.138011, 0.61803, 0.072694, 0.011162, 0.446414]"
CONTROL,2186492.3969842494,"[0.12968, 0.129458, 0.601373, 0.050399, -0.013056, 0.424482]"
CONTROL,2206551.37905851,"[0.126311, 0.117702, 0.582532, 0.027354, -0.0364, 0.404972]"
CONTROL,2226608.4189759567,"[0.119706, 0.103408, 0.56233, 0.004445, -0.058025, 0.388582]"
CONTROL,2246674.2920223624,"[0.110433, 0.08732, 0.541614, -0.017477, -0.077182, 0.375857]"
CONTROL,2266733.6150771007,"[0.099153, 0.070222, 0.521209, -0.037641, -0.093259, 0.367168]"
CONTROL,2286791.5260139853,"[0.086575, 0.052891, 0.501874, -0.055402, -0.105811, 0.362688]"
